migration_id,source_url,source_domain,source_locale,source_type,source_status,target_url,target_locale,target_type,action,redirect_code,equivalence,priority,migration_status,validation_status,source_evidence,owner,notes,validated_on,deployed_on
MIG-001,https://flat-cms.fr/,flat-cms.fr,fr-FR,landing_page,200 vérifié,https://flat-cms.fr/fr-FR/,fr-FR,homepage,redirect,301,exacte,P0,ready_for_implementation,source_verified_target_planned,https://flat-cms.fr/,À attribuer,La future page d’accueil localisée remplace la landing page actuelle.,,
MIG-002,https://flat-cms.fr/index.php,flat-cms.fr,fr-FR,landing_page_alias,À vérifier,https://flat-cms.fr/fr-FR/,fr-FR,homepage,redirect,301,exacte,P0,planned,source_to_verify,https://flat-cms.fr/,À attribuer,Alias probable du front controller actuel. Tester sans paramètres avant mise en production.,,
MIG-003,https://flat-cms.fr/index.php?p=roadmap,flat-cms.fr,fr-FR,roadmap,200 vérifié,https://flat-cms.fr/fr-FR/roadmap/,fr-FR,roadmap,redirect,301,exacte,P0,ready_for_implementation,source_verified_target_planned,https://flat-cms.fr/index.php?p=roadmap,À attribuer,Conserver la page uniquement si la roadmap définitive est publiée.,,
MIG-004,https://flat-cms.fr/index.php?p=terms,flat-cms.fr,fr-FR,legal_notice,liée depuis la landing,https://flat-cms.fr/fr-FR/mentions-legales/,fr-FR,legal_notice,redirect,301,exacte,P0,ready_for_implementation,source_link_verified_target_planned,https://flat-cms.fr/,À attribuer,Ne déployer la cible qu’après finalisation de la structure juridique et suppression des placeholders.,,
MIG-005,https://flat-cms.fr/index.php?p=policy,flat-cms.fr,fr-FR,privacy_policy,200 vérifié,https://flat-cms.fr/fr-FR/confidentialite/,fr-FR,privacy_policy,redirect,301,exacte,P0,ready_for_implementation,source_verified_target_planned,https://flat-cms.fr/index.php?p=policy,À attribuer,La politique actuelle doit être remplacée par la version juridiquement validée.,,
MIG-006,https://wiki.flat-cms.fr/,wiki.flat-cms.fr,fr-FR,wiki_root,liée depuis la landing,https://flat-cms.fr/fr-FR/documentation/,fr-FR,documentation_hub,redirect,301,proche,P0,ready_for_audit,source_link_verified_target_planned,https://flat-cms.fr/,À attribuer,Confirmer la page d’accueil réelle du wiki avant activation.,,
MIG-007,https://wiki.flat-cms.fr/fr-FR/,wiki.flat-cms.fr,fr-FR,wiki_locale_root,À vérifier,https://flat-cms.fr/fr-FR/documentation/,fr-FR,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/fr-FR/,À attribuer,Racine documentaire française.,,
MIG-008,https://wiki.flat-cms.fr/en-US/,wiki.flat-cms.fr,en-US,wiki_locale_root,À vérifier,https://flat-cms.fr/en-US/documentation/,en-US,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/en-US/,À attribuer,Racine documentaire anglaise.,,
MIG-009,https://wiki.flat-cms.fr/de-DE/,wiki.flat-cms.fr,de-DE,wiki_locale_root,À vérifier,https://flat-cms.fr/de-DE/dokumentation/,de-DE,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/de-DE/,À attribuer,Valider le slug allemand définitif avec MULTILINGUAL.md.,,
MIG-010,https://wiki.flat-cms.fr/es-ES/,wiki.flat-cms.fr,es-ES,wiki_locale_root,À vérifier,https://flat-cms.fr/es-ES/documentacion/,es-ES,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/es-ES/,À attribuer,Valider le slug espagnol définitif.,,
MIG-011,https://wiki.flat-cms.fr/it-IT/,wiki.flat-cms.fr,it-IT,wiki_locale_root,À vérifier,https://flat-cms.fr/it-IT/documentazione/,it-IT,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/it-IT/,À attribuer,Valider le slug italien définitif.,,
MIG-012,https://wiki.flat-cms.fr/pt-PT/,wiki.flat-cms.fr,pt-PT,wiki_locale_root,À vérifier,https://flat-cms.fr/pt-PT/documentacao/,pt-PT,documentation_hub,redirect,301,proche,P0,planned,source_to_verify,https://wiki.flat-cms.fr/pt-PT/,À attribuer,Valider le slug portugais définitif.,,
MIG-013,https://wiki.flat-cms.fr/fr-FR/wiki,wiki.flat-cms.fr,fr-FR,documentation_hub,liée depuis la landing,https://flat-cms.fr/fr-FR/documentation/,fr-FR,documentation_hub,redirect,301,exacte,P0,ready_for_implementation,source_link_verified_target_planned,https://flat-cms.fr/,À attribuer,Lien Documentation actuel de la landing.,,
MIG-014,https://wiki.flat-cms.fr/fr-FR/wiki/02-architecture/hmvc-psr4,wiki.flat-cms.fr,fr-FR,architecture_article,liée depuis la landing,https://flat-cms.fr/fr-FR/architecture/hmvc/,fr-FR,architecture_article,redirect,301,exacte,P0,ready_for_implementation,source_link_verified_target_planned,https://flat-cms.fr/,À attribuer,Lien Architecture actuel de la landing. La cible doit couvrir HMVC et PSR-4 ou rediriger vers une page plus précise si elle est créée.,,
MIG-015,https://wiki.flat-cms.fr/fr-FR/documentation/installation,wiki.flat-cms.fr,fr-FR,installation_guide,À vérifier,https://flat-cms.fr/fr-FR/documentation/installation/,fr-FR,installation_guide,redirect,301,exacte,P0,planned,source_to_verify,https://wiki.flat-cms.fr/fr-FR/documentation/installation,À attribuer,URL repérée dans les documents du projet ; confirmer dans l’inventaire du wiki.,,
MIG-016,https://wiki.flat-cms.fr/fr-FR/blog,wiki.flat-cms.fr,fr-FR,blog_hub,liée depuis la landing,https://flat-cms.fr/fr-FR/blog/,fr-FR,blog_hub,redirect,301,exacte,P0,ready_for_implementation,source_link_verified_target_planned,https://flat-cms.fr/,À attribuer,Lien Blog actuel de la landing.,,
MIG-017,https://wiki.flat-cms.fr/en-US/blog,wiki.flat-cms.fr,en-US,blog_hub,À vérifier,https://flat-cms.fr/en-US/blog/,en-US,blog_hub,redirect,301,exacte,P1,planned,source_to_verify,https://wiki.flat-cms.fr/en-US/blog,À attribuer,,,
MIG-018,https://wiki.flat-cms.fr/de-DE/blog,wiki.flat-cms.fr,de-DE,blog_hub,À vérifier,https://flat-cms.fr/de-DE/blog/,de-DE,blog_hub,redirect,301,exacte,P1,planned,source_to_verify,https://wiki.flat-cms.fr/de-DE/blog,À attribuer,,,
MIG-019,https://wiki.flat-cms.fr/es-ES/blog,wiki.flat-cms.fr,es-ES,blog_hub,À vérifier,https://flat-cms.fr/es-ES/blog/,es-ES,blog_hub,redirect,301,exacte,P1,planned,source_to_verify,https://wiki.flat-cms.fr/es-ES/blog,À attribuer,,,
MIG-020,https://wiki.flat-cms.fr/it-IT/blog,wiki.flat-cms.fr,it-IT,blog_hub,À vérifier,https://flat-cms.fr/it-IT/blog/,it-IT,blog_hub,redirect,301,exacte,P1,planned,source_to_verify,https://wiki.flat-cms.fr/it-IT/blog,À attribuer,,,
MIG-021,https://wiki.flat-cms.fr/pt-PT/blog,wiki.flat-cms.fr,pt-PT,blog_hub,À vérifier,https://flat-cms.fr/pt-PT/blog/,pt-PT,blog_hub,redirect,301,exacte,P1,planned,source_to_verify,https://wiki.flat-cms.fr/pt-PT/blog,À attribuer,,,
MIG-022,https://wiki.flat-cms.fr/fr-FR/blog/pourquoi-flatcms-a-ete-concu-nativement-agent-ready,wiki.flat-cms.fr,fr-FR,blog_article,URL connue du projet,https://flat-cms.fr/fr-FR/blog/pourquoi-flatcms-a-ete-concu-nativement-agent-ready/,fr-FR,blog_article,redirect,301,exacte,P0,planned,source_to_verify,https://wiki.flat-cms.fr/fr-FR/blog/pourquoi-flatcms-a-ete-concu-nativement-agent-ready,À attribuer,Conserver le slug afin de préserver les signaux existants.,,
MIG-023,https://wiki.flat-cms.fr/en-US/blog/why-flatcms-was-designed-natively-agent-ready,wiki.flat-cms.fr,en-US,blog_article,À vérifier,https://flat-cms.fr/en-US/blog/why-flatcms-was-designed-natively-agent-ready/,en-US,blog_article,redirect,301,exacte,P1,planned,source_to_verify,https://wiki.flat-cms.fr/en-US/blog/why-flatcms-was-designed-natively-agent-ready,À attribuer,Valider le slug source et le slug cible réels.,,
MIG-024,https://wiki.flat-cms.fr/uploads/images/logo-flatcms.webp,wiki.flat-cms.fr,neutral,brand_asset,À vérifier,https://flat-cms.fr/assets/brand/logo-flatcms.webp,neutral,brand_asset,redirect,301,exacte,P1,planned,source_to_verify,https://wiki.flat-cms.fr/uploads/images/logo-flatcms.webp,À attribuer,À conserver seulement si cette ressource reçoit des liens externes. Sinon laisser 404 après migration.,,
MIG-025,https://demo.flat-cms.fr/,demo.flat-cms.fr,multi,live_demo,liée depuis la landing,https://demo.flat-cms.fr/,multi,live_demo,keep,,identique,P0,keep_existing,source_link_verified,https://flat-cms.fr/,À attribuer,"La démo reste le second domaine public. Vérifier canonical, noindex et réinitialisation selon la stratégie finale.",,
MIG-026,https://wiki.flat-cms.fr/fr-FR/recherche,wiki.flat-cms.fr,fr-FR,search,À vérifier,https://flat-cms.fr/fr-FR/recherche/,fr-FR,search,redirect,301,proche,P2,planned,source_to_verify,https://wiki.flat-cms.fr/fr-FR/recherche,À attribuer,Les pages de résultats doivent être noindex. Vérifier l’URL source réelle.,,
AUD-001,https://wiki.flat-cms.fr/{locale}/wiki/{path},wiki.flat-cms.fr,{locale},documentation_pattern,À inventorier,https://flat-cms.fr/{locale}/documentation/{path}/,{locale},documentation_pattern,audit,,à déterminer,P0,inventory_required,not_validated,https://wiki.flat-cms.fr/,À attribuer,Ligne modèle uniquement. Chaque URL réelle doit devenir une ligne distincte avant déploiement.,,
AUD-002,https://wiki.flat-cms.fr/{locale}/blog/{slug},wiki.flat-cms.fr,{locale},blog_pattern,À inventorier,https://flat-cms.fr/{locale}/blog/{slug}/,{locale},blog_pattern,audit,,à déterminer,P0,inventory_required,not_validated,https://wiki.flat-cms.fr/,À attribuer,Conserver le slug lorsque la traduction et le contenu restent équivalents.,,
AUD-003,https://wiki.flat-cms.fr/uploads/{path},wiki.flat-cms.fr,neutral,media_pattern,À inventorier,https://flat-cms.fr/assets/{path},neutral,media_pattern,audit,,à déterminer,P1,inventory_required,not_validated,https://wiki.flat-cms.fr/,À attribuer,Ne rediriger que les médias recevant du trafic ou des backlinks utiles.,,
AUD-004,https://flat-cms.fr/index.php?{legacy_query},flat-cms.fr,fr-FR,legacy_query_pattern,À inventorier,,,unknown,audit,,à déterminer,P0,inventory_required,not_validated,https://flat-cms.fr/,À attribuer,Recenser tous les paramètres historiques dans les logs et Search Console.,,
AUD-005,http://flat-cms.fr/{path},flat-cms.fr,multi,http_variant,À vérifier,https://flat-cms.fr/{path},multi,https_variant,redirect,301,exacte,P0,planned,server_validation_required,http://flat-cms.fr/,À attribuer,"Forcer HTTPS avant toute autre redirection, sans créer de chaîne inutile.",,
AUD-006,https://www.flat-cms.fr/{path},www.flat-cms.fr,multi,host_variant,À vérifier,https://flat-cms.fr/{path},multi,canonical_host,redirect,301,exacte,P0,planned,dns_and_server_validation_required,https://www.flat-cms.fr/,À attribuer,À appliquer seulement si le sous-domaine www est configuré et répond.,,
